schedule,schedule_name,category,description,valid_from_year,valid_to_year,change_notes
40,Expenses,Expense,"Schedule 40 consists of operating expenses reported by object and function. This is supported by Schedule 42, Additional Operating Information. Schedule 42 isolates specific expenses for services which were reported as part of a total in Schedule 40.

Expenses are grouped by object and by function as per PS1201 Financial statement presentation. Object expenses are presented in columns 1 through 7:

**Column 1 Salaries, wages, and employee benefits**

**Column 2 Interest on Long term debt**

**Column 3 Materials**

**Column 4 Contracted services**

**Column 5 Rents, financial expenses, &Accretion Expense Column 6 External transfers Column 16 Amortization Column 7 Total Expenses before adjustments**

The following additional columns contain information used for analytical purposes:

**Column 12 Inter functional adjustments. Column 13 Allocation of program support Column 11 Total expenses**

Please note that column 11, Total Expenses, equals the sum of columns 7, 12, and 13.",,,
42,Additional Information,Expense,"Schedule 42 analyzes information reported in Schedule 40, Statement of Operations: Expenses.

This schedule isolates amounts which are included in a column total or row total.",,,
51A,Tangible Capital Assets by Function,Tangible Capital Assets,"The Schedule 51 series collects the net book value of tangible capital assets by function (51A) and asset class (51B).

Refer to the FIR Instructions section on functional categories for definitions of specific functions.

**==> picture [37 x 37] intentionally omitted <==**

**Ensure tangible capital assets are included in the appropriate functional categories. Ministries use information from the FIR, including Schedule 51, to determine eligibility and allocations for certain grants and programs.**

**Municipalities that do not fill out Schedule 51 properly may be deemed ineligible for certain grants. If you require assistance classifying tangible capital assets, contact:** FIR@Ontario.ca",,,
51B,Segmented by Asset Class,Tangible Capital Assets,**Please ensure tangible capital assets are segmented by asset class only** .,,,
53,Consolidated Statement of Change in Net Financial Assets (Net Debt) and Tangible Capital Asset Acquisition / Donations,Net Financial Assets / Net Debt,The statement of change in net financial assets (net debt) explains the difference between a municipality’s surplus or deficit and its change in net financial assets or net debt in the same reporting year.  This statement provides for the reporting of the acquisition of tangible capital assets and other significant items that have an impact on the difference between the annual surplus or deficit and the change in net financial assets or net debt.,,,
54,Consolidated Statement of Cash Flows,Cash Flow,"The consolidated statement of cash flows reflects the effects of a municipality’s activities on its cash resources.  The statement of cash flows shows how a municipality generated and used cash in the reporting year and the change in cash and cash equivalents at the beginning and end of the reporting year.

The statement of cash flows reports cash flows classified by operating, capital, investing and financing activities.

PSA Section 1202 Financial Statement Presentation allows a municipality to use either the direct or indirect method to report cash activities in municipal financial statements.

**Please utilize the method in the FIR that was used in the municipal financial statements** .

**The information provided in the statement of cash flows for the FIR should be the same as reported in the municipal financial statement.**",,,
60,Continuity of Reserves and Reserve Funds,Reserves & Reserve Funds,"Reserves and reserve funds are comprised of funds set aside for specific purposes by Council and funds set aside for specific purposes by legislation, regulation, or agreement. For financial reporting purposes, reserve funds set aside by legislation, regulation or agreement are categorized as Obligatory Reserve Funds and are reported as deferred revenue, a liability, on the Consolidated Statement of Financial Position. Other reserve funds and reserves are balances within the accumulated surplus.

Schedule 60 contains a continuity section (lines 0299 to 2099) and an analysis section (lines 5010 to 9930).

Three columns have been created to distinguish Obligatory reserve funds/Deferred revenues from Discretionary reserve funds and Reserves.

All schedules of the FIR should be prepared in conjunction with the audited financial statements. Obligatory reserve funds are reported as part of deferred revenue.  The reason is that such funds, by their nature, involve restrictions on their use and are not available for the discretionary use of Council.",,,
61A,Development Charges Receivable,Reserves & Reserve Funds,"Schedule 61A drills deeper than Schedule 60 and collects information on development charge receivable transactions which occurred during the year segmented by service category.

For financial reporting purposes, development charges reserve funds are reported as obligatory reserve funds/deferred revenue on the Consolidated Statement of Financial Position.",,,
61B,Development Charges Cash Collected and Amounts Earned (DC Inflows / Outflows),Reserves & Reserve Funds,"Schedule 61A drills deeper than Schedule 60 and collects information on development charge receivable transactions which occurred during the year segmented by service category.

For financial reporting purposes, development charges reserve funds are reported as obligatory reserve funds/deferred revenue on the Consolidated Statement of Financial Position.",,,
62,Development Charges Rates,Reserves & Reserve Funds,"Schedules 62 and 62A require municipalities to report their development charge rate information.

**Schedule 62** is the main schedule used to report the current year’s municipal wide development charges rates, both residential and non-residential. Under this schedule, please enter development charges by the type of service and by type of development / dwelling that were in place as of December 31, 2024.

**Schedule 62A** – is used in cases where the municipality has special area-specific development charge rates that are not the same as the municipal-wide rates and are applied only to specific areas of the municipality.

Enter the development charge rates that were in place as of December 31, 2024.",,,
70,Consolidated Financial Position,Financial Position,"This schedule reports financial assets, liabilities, non-financial assets, and the accumulated surplus.

**Please note** : Accumulated surplus is now broken out into two components: Accumulated Surplus (Deficit) **before** remeasurement gains (losses), and Accumulated Surplus (Deficit), remeasurement gains (losses).

Report the assets and liabilities of the revenue fund, capital fund, obligatory reserves/deferred revenue, discretionary reserve funds and reserve funds of the municipality and all the consolidated local boards that make up the reporting entity as defined in PS 1300 of the PSAB Handbook.

Report all municipal investments in government business enterprises using the modified equity basis of accounting, as set out in PS 1300, paragraphs .28 to .36 of the PSAB Handbook.

**All inter fund receivables and liabilities are to be eliminated.** The exception is a long-term loan from own reserve funds.  These loans should be reported on Schedule 70 - line 2610 - column 1.

**Assets** are divided into financial assets (cash and cash equivalents, accounts receivable, taxes receivable, investments, debt recoverable from others, and other financial assets) and non-financial assets.

**Liabilities** are categorized as temporary loans, accounts payable and accrued liabilities, estimated tax liabilities, deferred revenue, long term liabilities, postemployment benefits, liability for contaminated sites, and liability for asset retirement obligations.

**The accumulated surplus / (deficit)** is divided into equity in tangible capital assets (TCA), investment in intangible assets, reserve and reserve funds, general surplus/(deficit), unexpended capital financing, local boards, equity in government business enterprises, and unfunded liabilities (post-employment benefits, remediation costs relating to contaminated sites and asset retirement obligations).",,,
71,,Remeasurement Gains & Losses,,,,
74,Long Term Liabilities and Commitments,Long Term Liabilities,"Schedule 74 consists of 5 separate worksheets (74A, B, C, D, and E) and 12 sections. The worksheets and the sections within each are detailed below:",,,
74E,Asset Retirement Obligation Liability,Long Term Liabilities,"PS 3280 Standard AROs guides municipalities to determine if a retirement or remediation obligation relating to an existing tangible capital asset should be recognized.   An asset retirement obligation is a legal obligation that arises from the retirement of a tangible capital asset, including solid waste or landfill liabilities.

PS 3280.63 (d) states that a public sector entity should disclose a reconciliation of the beginning and ending aggregate carrying amount of the liability, showing separately the changes attributable to:

- The liability incurred in the current period.

- The liability settled in the current period.

-

   - The change resulting from the passage of time (i.e., accretion expense); and

- Any revisions in estimated cash flows.",,,
76,Government Business Enterprises (GBE),Other Information,"Please report the requested financial data that pertains to all entities deemed to be Government Business Enterprises (GBEs) as defined by Section 1300 of the Public Sector Accounting Handbook.  These include entities established under Ontario Regulation 599/06, Municipal Services Corporations, or the Municipal Act, 2001.",,,
77,"Other Entities (DSSABs, Health Units, etc.)",Other Information,"In the Schedule 77 series, report financial data that pertains to entities that were previously fully or proportionally consolidated in the FIR but not fully or proportionally consolidated in municipal financial statements.   This type of entity includes District Social Services Administration Boards (77A), Health Units (77B), and other entities (77C).

In Schedules 77A through 77C, please complete column 1 and then enter the municipality’s share as a percent on column 3. Column 2 is automatically calculated by multiplying total expenses (Column 1) by % of municipality’s share (Column 3).

Data entered in Schedules 77A through 77C is carried forward and consolidated in Schedule 77D.",,,
80,Statistical Information,Other Information,"The Schedule 80 series collects statistical information that is not collected elsewhere. This schedule series consists of sections 1 through 8.

**1. Municipal Workforce Profile**

**2. Selected Investments of Own Sinking Funds as of December 31**

**3. Municipal Procurement this Year**

**4. Building Permit Information**

**5. Insured Value of Physical Assets**

**7. Vacant Home Tax**

**8. Consolidated Local Boards Including Joint Local Boards and All Local Entities Set Up by the Municipality**

   - **(I) Proportionally Consolidated Joint Local Boards**

   - **(II) Fully Consolidated Local Boards and Any Local Entities Set Up by the Municipality**

In Schedule 80, the number of columns and column headings change with each section to accommodate the information collected.",,,
80D,Municipal Performance Statistical Information,Other Information,"Schedule 80D collects statistical information. Municipalities report the data when they are responsible for the service, whether provided by municipal staff or contracted out. This schedule consists of section 9 through 14.

**9. Building Permit Information (Performance Measures)**

**10. Planning and Development**

**11. Transportation Services**

**12. Environmental Services**

**13. Recreation Services**

**14. Other Revenue (Used for the Calculation of Operating Cost).**

In Schedule 80D the number of columns and column headings change with each section to accommodate the information collected.",,,
81,Annual Debt Repayment Limit (ARL),Other Information,"The annual debt and financial obligation limit for municipalities is determined under **ONTARIO REGULATION 403/02: Debt and Financial Obligation Limits.**

Under the above-mentioned regulation:

The Ministry shall inform the treasurer of the municipality in writing of the limit.

Before authorizing any specific work or class of work or any increase in expenditure for a previously authorized specific work or class of work that would require a long-term debt or financial obligation described in section 2, the council of the municipality shall have its treasurer calculate an updated limit using the most recent debt and financial obligation limit determined by the Ministry.

All the rows in this schedule except for line 2410 are automatically populated from the schedules, rows and columns indicated in the ARL schedule.

Please complete line 2410: Fees and Revenue for Joint Local Boards for Homes for the Aged.

Please understand that the Ministry of Municipal Affairs will review the ARL schedule and send out a confirmation of the Annual Repayment Limit as required by Ontario Regulation 403/02.",,,
83,Notes,Other Information,"This schedule is to be used for additional notes on the various schedules in the 2024 FIR.

Notes should be used to provide information about variances between municipal audited financial statements and Financial Information Return balances, as well as other transactions, circumstances or events as needed.",,,
