schedule,column_id,column_name,description,valid_from_year,valid_to_year,change_notes
26,01,Property Class Group,"In this column, every property class, or RTC / RTQ combination has been ‘categorized’ into Property Class Groups.  The Realty Tax Class (RTC) determines which Property Class belongs to which Group.  Amounts for each property class on Schedule 22 will be aggregated for each Group.

The Construction class has been reflected by the RTC codes for the Commercial and Industrial property class group.

The following table outlines the RTC codes that are included in each Property Class Group shown in column 1:

|**Property Class Group**|**RTC**<br>**Included**|
|---|---|
|Residential|**R**|
|Multi-Residential|**M, N**|
|Farmland|**F**|
|Managed Forest|**T**|
|Commercial|**C, A, X**|
|Parking Lot|**G**|
|Office Building|**D, Y**|
|Shopping Centre|**S, Z**|
|Industrial|**I, J**|
|Large Industrial<br>Landfill|**L, K**<br>**HA**|
|Pipeline|**P**|
|Other Property Classes|**O**|

Subtotals exist for Residential and Farmland property classes (Line 9110), Commercial property classes (Line 9120), and Industrial property classes (Line 9130).

It should be noted that these property class groups do not include Supplementary Taxes, and Amounts Added to Tax Bills. Like Schedule 22, individual lines are made available for reporting Supplementary Taxes, and Amounts Added to Tax Bills.",,,
26,16,Taxable Assessment (CVA),"Amounts shown in this column are automatically calculated from information reported in Schedule 22, Municipal and School Board Taxation.

Assessment values reported in column 7 of Schedule 22 are summed by Property Class Group as discussed in column 1 of this Schedule.",,,
26,02,Taxable Assessment (Weighted and Discounted CVA),"Amounts shown in this column are automatically calculated from information reported in Schedule 22, Municipal and School Board Taxation.

Assessment values reported in column 7 of Schedule 22 are converted to a ‘Weighted’ and ‘Discounted’ Assessment value by multiplying by the Tax Ratio in column 5, and the Percentage of Full Rate in column 6.

‘Weighted’ Assessment refers to Assessment values that have been multiplied by the Tax Ratio applicable to the property class.

‘Discounted’ Assessment refers to Assessment values that have been multiplied by the Percent of Full discount applicable to the property class.  Assessment values are discounted for unoccupied properties, Farmland Awaiting Development, and Tax Banding.

For each property class, or RTC / RTQ and Tax Band combination, the Weighted and Discounted Assessment is calculated as follows:",,,
26,18,Phase-In Taxable Assessment (CVA),"Amounts shown in this column are automatically calculated from information reported in Schedule 22, Municipal and School Board Taxation.

Phase-in taxable assessment values reported in column 16 of Schedule 22 are summed by Property Class Group as discussed in column 1 of this Schedule.",,,
26,17,Phase-In Taxable Assessment (Weighted and Discounted CVA),"Amounts shown in this column are automatically calculated from information reported in Schedule 22, Municipal and School Board Taxation.

Assessment values reported in column 16 of Schedule 22 are converted to a ‘Weighted’ and ‘Discounted’ Assessment value by multiplying by the Tax Ratio in column 5, and the Percentage of Full Rate in column 6.

‘Weighted’ Assessment refers to Assessment values that have been multiplied by the Tax Ratio applicable to the property class.

‘Discounted’ Assessment refers to Assessment values that have been multiplied by the Percent of Full discount applicable to the property class.  Assessment values are discounted for unoccupied properties, Farmland Awaiting Development, and Tax Banding.

For each property class, or RTC / RTQ and Tax Band combination, the Weighted and Discounted Phase-In Taxable Assessment is calculated as follows:",,,
26,03,Total Taxes,"The Total Taxes shown in this column are equal to the sum of Municipal Taxes, and Education taxes.  This column is automatically calculated by adding amounts in columns 4 to 6 of this Section.

Unlike other parts of the FIR, the Total Taxes column has been placed to the left of Municipal and Education taxes for the Education taxes, column 6, to appear beside the Distribution of Education Taxes by School Board, columns 7 to 11.",,,
26,04,Municipal Taxes:  Lower-Tier (Single-Tier),No description provided.,,,
26,05,Municipal Taxes:  Upper-Tier,No description provided.,,,
26,06,Education Taxes,No description provided.,,,
26,07,Education Taxes by School Board:  English - Public,No description provided.,,,
